plant_type,soil_type,pot_size,growth_stage,moisture,temperature,humidity,light,sunlight_hours,time_since_last_water,watering_frequency,water_needed,health_score
Snake Plant,sandy,large,young,18.7,20.6,34.8,309.5,7.0,6.7,1,1,97.3
Jade Plant,sandy,large,seedling,13.8,31.5,74.1,766.9,7.8,62.6,1,0,77.6
Tulsi,loamy,medium,young,62.5,21.4,40.1,329.0,4.3,61.0,2,0,100.0
Money Plant,loamy,medium,mature,35.0,17.9,89.6,485.6,6.5,62.0,3,1,75.8
Snake Plant,sandy,large,seedling,45.6,32.8,94.0,436.0,5.9,60.1,1,0,86.6
Peace Lily,sandy,large,young,46.2,31.1,72.8,349.0,4.9,27.3,5,1,100.0
Fern,sandy,large,young,50.2,34.4,88.1766030269925,113.2,3.6,65.7,3,1,85.7
Peace Lily,sandy,large,young,60.1,24.1,89.0,461.7,5.0,53.8,4,0,99.3
Jade Plant,clay,medium,seedling,19.5,37.9,34.7,1116.7,9.0,11.0,1,1,76.6
Spider Plant,loamy,small,young,32.3,23.8,94.7,668.7,7.4,63.7,1,0,100.0
Peace Lily,sandy,medium,young,69.0,18.6,69.21861677628817,353.6,4.0,65.7,5,0,100.0
Monstera,loamy,large,mature,51.1,19.6,92.14727230384958,446.6,4.4,8.1,5,1,98.6
Monstera,sandy,small,seedling,47.6,35.2,91.3,459.8,5.9,9.1,4,1,81.6
Fern,sandy,medium,mature,51.3,35.1,86.43428188225319,513.9,4.8,28.7,5,1,91.7
Peace Lily,clay,large,young,57.3,17.8,79.3872532848568,302.2,4.4,51.0,5,0,85.6
Snake Plant,sandy,medium,seedling,31.3,26.8,44.5,1129.4,7.6,41.5,1,0,97.4
Areca Palm,clay,small,seedling,50.2,17.2,55.2,316.3,6.6,47.0,3,0,81.5
Money Plant,clay,large,young,42.2,33.4,32.6,426.6,5.3,20.1,4,1,97.5
Snake Plant,clay,large,seedling,48.2,16.2,94.9,1109.2,8.6,12.0,1,0,79.9
Aloe Vera,clay,small,seedling,11.9,23.7,94.0,873.0,9.1,30.5,1,0,89.6
Fern,loamy,large,young,83.6,18.6,85.75080125761652,162.7,2.2,3.6,5,0,99.8
Fern,sandy,small,mature,65.1,16.8,90.16367206895453,288.3,3.6,41.0,5,0,90.8
Money Plant,loamy,small,young,46.6,30.1,64.6,514.9,4.6,17.2,3,0,99.0
Monstera,clay,medium,seedling,65.5,15.2,68.5,153.0,2.9,67.2,3,0,83.8
Aloe Vera,clay,medium,seedling,12.9,25.1,63.0,1084.3,9.9,38.1,1,0,100.0
Fern,clay,large,seedling,49.3,36.6,85.98458393933495,156.4,2.6,15.2,3,1,78.4
Monstera,loamy,medium,young,48.2,35.8,89.02718312802767,166.7,2.2,9.4,4,1,94.8
Tulsi,loamy,medium,mature,36.5,31.2,64.3,463.7,6.7,60.1,4,1,85.8
Tulsi,clay,small,seedling,66.2,22.1,87.9,363.0,6.7,18.0,2,0,96.0
Fern,clay,large,mature,79.0,18.6,90.84956716321635,247.3,2.1,23.9,3,0,100.0
Aloe Vera,clay,small,mature,29.6,17.5,86.1,545.0,6.9,33.1,1,0,73.1
Aloe Vera,sandy,small,mature,26.8,19.4,48.0,767.5,9.9,46.2,1,0,99.0
Fern,clay,small,seedling,66.2,35.2,61.33900190736419,403.7,4.4,56.6,4,0,79.4
Fern,sandy,medium,mature,58.4,19.4,92.3951307924679,515.8,4.2,53.4,5,0,100.0
Peace Lily,clay,small,mature,70.5,36.2,85.19139920548825,161.9,3.2,29.4,3,0,89.0
Monstera,loamy,small,seedling,72.1,24.7,90.8,209.6,3.2,0.0,3,0,97.9
Spider Plant,loamy,large,mature,39.9,22.4,55.9,1175.9,8.0,53.0,2,0,100.0
Monstera,loamy,large,mature,83.0,29.2,83.54784846950085,139.8,2.9,1.8,3,0,97.4
Areca Palm,loamy,small,young,42.1,24.5,69.1,419.9,5.2,10.6,4,0,100.0
Snake Plant,clay,small,seedling,33.2,33.5,73.7,672.8,8.6,9.6,1,1,89.6
Fern,loamy,large,young,68.2,36.9,91.22071037193564,281.4,3.7,32.1,5,0,86.6
Areca Palm,clay,medium,seedling,65.9,34.3,44.4,382.4,5.9,5.6,3,0,87.9
Monstera,clay,medium,mature,59.1,16.9,84.72466995930932,181.5,2.3,39.1,3,0,89.2
Aloe Vera,clay,medium,mature,29.4,36.8,26.4,886.2,8.3,67.9,1,1,73.0
