moisture,temp,humidity,light,plant_type,plant_type_encoded,water_needed,health_score
8.02,31.63,24.87,621.91,Cactus,1,1,33.98
19.16,30.98,20.83,715.5,Cactus,1,0,82.25
73.23,20.05,51.95,679.55,Rose,0,0,95.64
34.51,22.18,70.73,328.13,Fern,2,1,46.1
9.05,40.69,28.04,781.05,Cactus,1,1,30.64
39.54,19.44,66.33,302.3,Rose,0,1,43.17
62.48,22.92,72.67,391.52,Rose,0,0,76.79
21.18,19.34,58.09,322.83,Rose,0,1,46.61
29.71,41.39,21.72,621.68,Cactus,1,0,74.03
67.1,19.61,50.86,602.05,Rose,0,0,88.12
34.69,22.15,60.72,250.61,Fern,2,1,33.37
26.06,31.01,20.3,691.66,Cactus,1,0,91.0
38.22,31.63,30.74,931.64,Cactus,1,0,88.87
11.31,36.28,37.57,690.22,Cactus,1,1,39.57
26.82,25.81,53.2,563.14,Rose,0,1,61.5
49.09,22.31,70.43,165.1,Fern,2,1,31.55
19.14,39.61,27.04,931.65,Cactus,1,0,68.73
20.0,35.0,30.0,900.0,Cactus,1,1,45.0
8.97,29.22,35.43,643.26,Cactus,1,1,34.2
35.82,24.51,57.55,438.28,Rose,0,1,38.32
12.89,40.49,30.85,945.78,Cactus,1,1,35.75
19.46,37.63,30.94,696.77,Cactus,1,0,86.97
23.09,19.26,89.37,352.15,Fern,2,1,53.06
67.35,23.57,85.35,388.78,Fern,2,0,81.89
70.6,28.23,66.56,524.38,Rose,0,0,93.59
12.95,37.9,21.26,627.7,Cactus,1,1,36.53
20.72,18.44,64.16,525.94,Rose,0,1,32.58
79.81,18.66,83.0,325.11,Fern,2,0,94.06
88.0,21.0,88.0,190.0,Fern,2,0,93.0
39.76,23.32,63.1,201.76,Fern,2,1,46.64
27.91,20.41,64.75,325.68,Rose,0,1,49.15
70.09,28.28,69.76,365.17,Rose,0,0,77.42
30.07,34.47,30.29,847.37,Cactus,1,0,80.64
71.19,22.69,68.06,180.29,Fern,2,0,82.13
37.75,18.3,50.66,429.44,Rose,0,1,47.82
11.69,37.5,29.05,825.59,Cactus,1,1,24.56
37.33,21.59,84.71,396.21,Fern,2,1,43.37
80.06,21.85,55.6,316.31,Rose,0,0,88.82
65.52,25.79,78.29,359.89,Fern,2,0,93.64
56.0,27.0,60.0,460.0,Rose,0,0,80.0
29.73,24.76,77.83,330.95,Fern,2,1,48.8
33.59,30.82,26.47,662.59,Cactus,1,0,75.61
65.68,29.84,68.17,394.89,Rose,0,0,77.6
33.24,37.26,24.63,666.16,Cactus,1,0,69.78
32.3,28.67,42.57,923.86,Cactus,1,0,83.92
79.51,21.09,55.13,567.46,Rose,0,0,95.54
33.29,37.19,24.44,807.11,Cactus,1,0,91.95
34.05,41.43,32.2,641.7,Cactus,1,0,81.1
8.81,30.28,39.66,879.09,Cactus,1,1,35.35
33.84,28.49,34.57,978.27,Cactus,1,0,88.78
21.15,21.52,76.89,305.2,Rose,0,1,33.24
83.62,25.27,56.86,568.68,Rose,0,0,89.72
5.5,39.81,44.53,901.39,Cactus,1,1,48.94
72.59,19.73,71.39,390.43,Fern,2,0,86.32
69.52,23.0,80.73,359.14,Fern,2,0,90.63
88.38,27.47,63.18,196.45,Fern,2,0,97.84
71.46,26.3,69.56,389.71,Rose,0,0,90.39
42.6,26.73,75.0,369.07,Fern,2,1,48.7
64.76,26.76,69.13,654.89,Rose,0,0,84.92
16.74,29.63,76.51,671.1,Rose,0,1,59.86
60.07,21.34,55.31,335.48,Rose,0,0,77.42
17.4,28.74,66.43,626.92,Rose,0,1,43.68
26.2,21.25,69.32,463.49,Rose,0,1,32.19
31.66,26.63,56.85,698.53,Rose,0,1,61.49
7.42,41.45,24.92,961.54,Cactus,1,1,53.46
76.99,18.22,69.03,300.79,Fern,2,0,80.71
69.64,23.0,72.36,411.16,Fern,2,0,90.33
47.91,18.95,73.5,251.24,Fern,2,1,57.55
10.23,37.06,42.45,692.52,Cactus,1,0,88.2
34.31,24.32,71.95,332.65,Rose,0,1,34.46
70.54,22.83,68.06,236.24,Fern,2,0,90.88
43.28,25.8,68.23,505.08,Rose,0,1,40.91
64.7,24.23,71.09,445.45,Rose,0,0,94.91
36.21,18.79,76.98,422.41,Fern,2,1,40.61
30.65,22.13,80.27,347.45,Fern,2,1,29.34
39.37,36.88,23.16,856.95,Cactus,1,0,76.06
20.3,20.65,55.59,611.83,Rose,0,1,41.05
38.97,34.05,27.8,792.33,Cactus,1,0,78.89
81.51,24.78,69.53,404.43,Fern,2,0,97.2
11.87,35.13,44.92,909.31,Cactus,1,0,80.57
69.78,18.14,64.06,322.52,Rose,0,0,78.35
10.72,35.24,30.76,720.44,Cactus,1,1,37.15
11.76,32.68,39.62,868.92,Cactus,1,0,84.89
90.69,19.75,77.03,323.79,Fern,2,0,89.88
15.0,38.0,25.0,950.0,Cactus,1,1,38.0
28.8,23.25,80.93,420.08,Fern,2,1,52.17
54.0,27.0,63.0,480.0,Rose,0,0,81.0
7.58,28.83,35.09,860.9,Cactus,1,1,27.07
16.07,41.41,29.2,724.23,Cactus,1,0,69.33
55.62,29.64,74.97,384.94,Rose,0,0,78.2
18.0,37.0,28.0,910.0,Cactus,1,1,40.0
81.73,23.63,78.74,409.33,Fern,2,0,90.74
78.9,19.61,62.51,155.74,Fern,2,0,82.87
26.27,36.26,32.71,713.07,Cactus,1,0,80.75
57.79,28.77,77.01,553.24,Rose,0,0,81.56
39.74,27.98,73.55,256.42,Fern,2,1,41.28
81.87,22.67,50.33,662.15,Rose,0,0,79.01
29.47,18.57,83.0,360.63,Fern,2,1,37.52
83.0,22.0,83.0,210.0,Fern,2,0,92.0
43.1,18.47,53.66,480.88,Rose,0,1,61.98
31.99,21.27,60.32,397.97,Fern,2,1,52.93
68.67,25.44,58.32,375.25,Rose,0,0,85.14
27.57,28.98,60.87,532.24,Rose,0,1,50.6
33.54,26.43,66.79,303.91,Rose,0,1,42.33
17.85,31.46,42.66,694.83,Cactus,1,0,72.58
44.44,24.12,71.2,226.6,Fern,2,1,32.55
37.45,22.01,70.14,188.05,Fern,2,1,40.65
12.73,35.25,28.7,741.26,Cactus,1,1,24.45
60.0,26.0,70.0,430.0,Rose,0,0,82.0
7.65,36.42,27.41,871.48,Cactus,1,1,46.42
81.14,27.64,55.6,657.02,Rose,0,0,87.9
39.69,27.71,76.87,364.43,Fern,2,1,30.64
90.33,18.85,71.57,171.31,Fern,2,0,84.83
39.49,19.03,72.06,368.68,Fern,2,1,53.38
28.89,19.43,64.54,279.83,Fern,2,1,45.9
29.23,24.14,86.94,392.98,Fern,2,1,45.55
19.14,29.13,30.07,665.94,Cactus,1,0,83.29
23.22,24.65,69.54,631.9,Rose,0,1,37.18
66.81,26.77,71.68,312.53,Fern,2,0,96.11
87.62,26.59,82.45,281.76,Fern,2,0,91.75
34.15,31.78,40.63,789.34,Cactus,1,0,69.34
41.13,26.57,74.05,435.78,Rose,0,1,58.11
77.0,23.0,76.0,360.0,Fern,2,0,90.0
14.02,39.29,44.62,886.61,Cactus,1,1,36.4
28.08,21.53,78.45,605.44,Rose,0,1,35.92
82.85,23.14,79.0,685.45,Rose,0,0,94.35
66.25,21.43,76.06,389.44,Rose,0,0,94.89
16.0,38.0,26.0,940.0,Cactus,1,1,36.0
13.17,36.97,25.4,835.44,Cactus,1,0,81.57
75.0,23.0,73.0,370.0,Fern,2,0,90.0
8.89,33.4,28.51,805.73,Cactus,1,1,28.46
30.04,36.89,24.15,935.13,Cactus,1,0,77.69
71.49,23.3,76.63,440.37,Rose,0,0,78.49
69.84,27.71,63.4,271.08,Fern,2,0,92.27
38.94,22.26,76.44,202.39,Fern,2,1,37.81
37.13,20.87,53.31,441.85,Rose,0,1,41.69
67.0,25.0,68.0,400.0,Rose,0,0,85.0
45.5,19.96,63.77,439.04,Fern,2,1,32.78
42.72,26.98,62.52,267.93,Fern,2,1,32.12
67.5,25.48,87.44,280.21,Fern,2,0,83.41
30.59,26.0,76.64,397.78,Fern,2,1,47.3
34.83,38.27,39.23,604.19,Cactus,1,0,77.89
8.32,39.97,25.18,627.04,Cactus,1,1,25.82
