moisture,temperature,humidity,light_intensity,plant_type,water_needed,health_score
72,24,65,450,Rose,0,88
35,32,40,700,Cactus,1,60
58,27,70,300,Fern,0,82
20,35,30,900,Cactus,1,45
85,22,80,200,Fern,0,91
43,29,55,550,Rose,1,70
15,38,25,950,Cactus,1,38
67,25,68,400,Rose,0,85
30,33,45,750,Cactus,1,55
90,21,85,180,Fern,0,94
50,28,60,500,Rose,0,78
25,36,35,850,Cactus,1,48
78,23,75,350,Fern,0,89
40,31,50,620,Rose,1,65
12,39,20,980,Cactus,1,32
62,26,72,420,Fern,0,83
55,27,58,470,Rose,0,80
18,37,28,910,Cactus,1,40
82,22,82,220,Fern,0,92
38,30,48,670,Rose,1,68
70,24,66,440,Rose,0,87
28,34,38,800,Cactus,1,52
88,21,88,190,Fern,0,93
46,29,56,530,Rose,0,74
22,36,32,880,Cactus,1,44
75,23,73,370,Fern,0,90
52,27,61,490,Rose,0,79
16,38,26,940,Cactus,1,36
65,25,69,410,Fern,0,84
42,30,53,580,Rose,1,67
80,22,80,230,Fern,0,91
33,32,43,720,Cactus,1,58
60,26,70,430,Rose,0,82
48,28,58,510,Rose,0,76
19,37,27,920,Cactus,1,39
85,21,84,200,Fern,0,93
37,31,47,650,Rose,1,66
73,24,67,450,Rose,0,88
26,35,36,830,Cactus,1,50
91,20,90,170,Fern,0,95
54,27,63,480,Rose,0,81
21,36,31,870,Cactus,1,42
77,23,76,360,Fern,0,90
44,29,55,540,Rose,1,71
14,39,23,960,Cactus,1,35
68,25,70,420,Fern,0,85
56,27,60,460,Rose,0,80
24,35,34,840,Cactus,1,46
83,22,83,210,Fern,0,92
39,30,49,660,Rose,1,67
